Unnamed: 0,model,price_label
187,f-150 platinum super crew,15
188,f-150 platinum**navi*cam*l,15
189,f-150 xlt**navi*back up ca,5
190,"f-150 xlt**back up cam*v6,",5
191,f150 fx4 off road 4x4,8
192,f150 3.5 v6,-1
193,f-150 fx4 super crew sunr,8
194,f-150 super cab 4x4,-1
195,f-150 xlt xtr super cab b,5
196,f-150 platinum**leather*na,15
197,"f-150 lariat**v8,5.0l*navi",10
198,f-150 xlt super crew eco,5
199,f-150 fx4 super crew sun,8
200,f150 supercrew cab stx,3
201,f150 super cab stx pickup,3
202,f150 ecoboost,-1
203,"f-150 4wd supercrew 157"" fx4",8
204,"f-150 4wd supercrew 157"" xlt",5
205,"f-150 4wd supercrew 145"" xlt",5
206,"f-150 4wd supercrew 145"" platinum",15
207,"f-150 4wd supercab 145"" xlt",5
208,f-150 stepside,-1
209,f150 supercrew cab platinum,15
210,f150 supercrew cab svt,-1
211,f150 supercrew cab 4x4,-1
212,"f-150 4wd supercrew 145"" lariat",10
213,f-150 xlt supercrew 6.5-ft,5
214,f150 crew cab 4x4,-1
215,f-150 supercrew lariat 4x4,10
216,f-150 platinum 4wd,15
217,f150 3dr ext,-1
218,f150 super crew cab 4x4,-1
219,f150 extended 4dr,-1
220,f-150 xl 4dr supercab xl,2
221,f-150 truck 4x4,-1
222,f-150 xlt supercab 6.5-ft,5
223,f-150 saleen,-1
224,f150 xlt 4wd f-150,5
225,f150 lariat 4wd f-150 4x4,10
226,f150 xl 4wd,2
227,f150 4wd f-150 4x4 lariat,10
228,f150 xl super cab,2
229,f150 supercab stx 4x4,3
230,f150 xlt supercrew cab,5
231,f-150 lariat supercrew 5.5-ft. bed 4wd 6-speed aut,10
232,f-150 v8,-1
233,f150 4wd truck f-150 lariat,10
234,f-150 4wd lariat f150 4x4,10
235,f150 stx 4wd f-150 4x4,3
236,f150 4wd f-150 4x4,-1
237,f-150 xlt 4wd f150 4x4,5
238,f-150 ac,-1
239,f150 lariat crew cab,10
240,f150 4x4 xlt 4wd f-150,5
241,f150 stx 4wd pickup truck,3
242,f150 xlt f-150,5
243,f-150 platinumcrew cab,15
244,f150 4x4 supwer crew xlt,5
245,f150 4x4 xlt crew,5
246,f-150 four-door crew cab,-1
247,f-150 supercab 4x4,-1
248,f-150 supercrew platinum 4x,15
249,f150 limited 4wd,17
250,f150 xlt 4x4 truck,5
251,f-150 lariat 4wd supercrew automatic,10
252,f150 lariet,-1
253,f150 xcab,-1
254,f150 f150,-1
255,f-150 extra cab,-1
256,f-150 3.5l turbo,-1
257,f150 extra cab,-1
258,f150 super crew fx4 4x4,8
259,f150 xlt supercrew 4wd,5
260,f150 2wd supercrew,-1
261,f150 longbed,-1
262,f-150 king ranch *4wd,14
263,f150 supercab xlt 4x4,5
264,f-150 xlt lariat,10
265,f150 king ranch,14
266,f150 supercab eddie bauer,-1
267,f150 ext cab 4x4,-1
268,f150 xl supercab,2
269,f150 7700 4x4,-1
270,f150 limited,17
271,f150 supercrew stx,3
272,f-150 stx 4x2supercrew,3
273,f-150 xlt 2wd supercab 6.5,5
274,f-150 xl supercrew 5.5' b,2
275,f-150/7700,-1
276,f-150 2wd super cab xl/,2
277,f-150 crew cab,-1
278,f150 4x4 pickup truck,-1
279,f-150 xlt crewcab 4x4,5
280,f-150 xlt 4dr supercrew xl,5
281,f150 lariat fx4 4x4 1/2 ton,10
282,f150 lariat sport 4x4 gas,10
283,f150 fx4 4x4 half ton gas,8
284,f150 xlt xtr 4x4 1/2 ton,5
285,f150 xlt 4x4 half ton gas,5
286,f-150 4d extended cab,-1
287,lifted f150 lariat 4x4 gas,10
288,lifted f150 xlt 4x4 1/2 ton,5
289,f150 lariat 4x4 half ton,10
290,f150 stx 4x4 half ton gas,3
291,f-150 long bed,-1
292,f150 xlt 4x4 1/2 ton gas,5
293,f150 xl reg cab,2
294,f150 xlt fx4 4x4 half ton,5
295,f150 xlt sport 4x4 1/2 ton,5
296,f150 fx4 4x4 1/2 ton gas,8
297,f150xlt 4x4,5
298,f150 xlt xtr 4x4 half ton,5
299,lifted f150 svt raptor 4x4,18
300,f-150 quad cab short box,-1
301,f150 xlt sport 4x4 half ton,5
302,f150 platinum 4x4 half ton,15
303,lifted f150 platinum 4x4,15
304,f150 lariat 4x4 1/2 ton gas,10
305,f150 sport 4x4 1/2 ton gas,-1
306,f150 xlt fx4 4x4 1/2 ton,5
307,lifted f150 lariat fx4 4x4,10
308,lifted f150 xlt fx4 4x4 gas,5
309,f150 fx2 rwd half ton gas,7
310,f150 platinum 4x4 1/2 ton,15
311,f-150 xl 3dr xl,2
312,f-150 lifted 5.0l v8 dbl roof adaptive cruise loaded,-1
313,f-150 fx4 fx4 4dr supercrew,8
314,f-150 xlt xlt 4dr supercrew,5
315,lifted f150 xlt sport 4x4,5
316,f-150 limited ecoboost,17
317,f150 limited 4x4 half ton,17
318,f150 xlt sport 4x4,5
319,f150 xlt ecoboost 4x4,5
320,f-150 fx4 supercrew,8
